date,open,high,low,close,closeadj,volume
2021-05-21,1.43,1.46,1.36,1.36,1.36,959596
2021-05-24,1.44,1.44,1.28,1.31,1.31,1938563
2021-05-25,1.31,1.32,1.25,1.26,1.26,948499
2021-05-26,1.25,1.33,1.25,1.3,1.3,1273854
2021-05-27,1.35,1.35,1.29,1.34,1.34,1631809
2021-05-28,1.33,1.43,1.3,1.42,1.42,2892338
2021-06-01,1.42,1.5,1.415,1.48,1.48,1829765
2021-06-02,1.55,1.55,1.42,1.47,1.47,2122786
2021-06-03,1.48,1.6,1.46,1.48,1.48,3827681
2021-06-04,1.52,1.52,1.4,1.44,1.44,2968101
2021-06-07,1.44,1.51,1.42,1.48,1.48,2525344
2021-06-08,1.5,1.62,1.43,1.62,1.62,4568048
2021-06-09,1.55,1.55,1.38,1.44,1.44,8662212
2021-06-10,1.42,1.45,1.35,1.36,1.36,3861147
2021-06-11,1.37,1.39,1.31,1.32,1.32,2830765
2021-06-14,1.34,1.35,1.26,1.28,1.28,3081315
2021-06-15,1.28,1.29,1.25,1.26,1.26,1769991
2021-06-16,1.26,1.44,1.25,1.31,1.31,8571509
2021-06-17,1.31,1.38,1.31,1.35,1.35,2086434
2021-06-18,1.34,1.35,1.28,1.28,1.28,2400469
2021-06-21,1.37,1.37,1.26,1.31,1.31,2474485
2021-06-22,1.33,1.45,1.32,1.35,1.35,5072627
2021-06-23,1.37,1.9,1.37,1.81,1.81,75114985
2021-06-24,1.64,1.74,1.53,1.7,1.7,31159857
2021-06-25,1.74,1.869,1.6,1.81,1.81,14519509
2021-06-28,1.86,2.08,1.8,1.92,1.92,27605171
2021-06-29,1.84,1.867,1.73,1.79,1.79,8147949
2021-06-30,1.7,1.835,1.64,1.78,1.78,6074456
2021-07-01,1.78,1.79,1.65,1.65,1.65,3921543
2021-07-02,1.65,1.68,1.55,1.63,1.63,4897844
2021-07-06,1.64,1.64,1.51,1.59,1.59,4819825
2021-07-07,1.56,1.57,1.4,1.43,1.43,5768008
2021-07-08,1.4,1.44,1.36,1.44,1.44,3563782
2021-07-09,1.46,1.465,1.33,1.38,1.38,7370458
2021-07-12,1.44,1.51,1.36,1.4,1.4,7217224
2021-07-13,1.37,1.45,1.37,1.42,1.42,2996667
2021-07-14,1.42,1.43,1.35,1.36,1.36,2699471
2021-07-15,1.35,1.4,1.34,1.37,1.37,1666812
2021-07-16,1.39,1.455,1.35,1.4,1.4,2233386
2021-07-19,1.37,1.37,1.27,1.28,1.28,3914204
2021-07-20,1.3,1.31,1.26,1.26,1.26,2066756
2021-07-21,1.28,1.34,1.27,1.31,1.31,2169782
2021-07-22,1.31,1.32,1.22,1.23,1.23,2887210
2021-07-23,1.18,1.22,1.12,1.14,1.14,7924292
2021-07-26,1.1,1.1,1.02,1.04,1.04,6789321
2021-07-27,1.04,1.07,0.95,0.968,0.968,6633406
2021-07-28,0.98,1.06,0.98,1.05,1.05,3126356
2021-07-29,1.1,1.11,1.02,1.03,1.03,2448305
2021-07-30,1.02,1.05,1,1.01,1.01,1456411
2021-08-02,1.04,1.11,1.02,1.06,1.06,2519596
2021-08-03,1.06,1.07,1.05,1.06,1.06,1231284
2021-08-04,1.04,1.07,1.03,1.06,1.06,1187205
2021-08-05,1.02,1.06,1.02,1.05,1.05,1580107
2021-08-06,1.17,1.24,1.11,1.16,1.16,23425725
2021-08-09,1.15,1.19,1.11,1.14,1.14,4534635
2021-08-10,1.18,1.2,1.16,1.18,1.18,3239355
2021-08-11,1.2,1.28,1.13,1.14,1.14,5738060
2021-08-12,1.16,1.18,1.08,1.1,1.1,5439562
2021-08-13,1.1,1.11,1.05,1.06,1.06,1819321
2021-08-16,1.08,1.1,1.03,1.04,1.04,2057312
2021-08-17,1.04,1.07,1,1.06,1.06,4024240
2021-08-18,1,1.07,0.98,1.03,1.03,3818742
2021-08-19,1,1.02,1,1,1,1849155
2021-08-20,0.98,1,0.93,0.973,0.973,3685931
2021-08-23,0.97,0.993,0.94,0.984,0.984,2245572
2021-08-24,1.01,1.09,1,1.05,1.05,3249170
2021-08-25,1.04,1.1,1.02,1.09,1.09,2349427
2021-08-26,1.09,1.11,1.05,1.05,1.05,1319604
2021-08-27,1.04,1.1,1.04,1.08,1.08,1085736
2021-08-30,1.13,1.17,1.11,1.15,1.15,3487486
2021-08-31,1.16,1.35,1.16,1.3,1.3,8448491
2021-09-01,1.32,1.35,1.26,1.35,1.35,5554397
2021-09-02,1.38,1.38,1.29,1.36,1.36,4267124
2021-09-03,1.36,1.44,1.33,1.36,1.36,3507122
2021-09-07,1.36,1.42,1.36,1.41,1.41,2395451
